index,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,word,participant number
Nonnative_you5,-198.5488,132.87943,11.792653,73.55051,24.247526,-9.383972,-0.5252616,6.4277043,-14.563436,4.8842134,-38.20657,-5.786716,0.2735991,2,99
Nonnative_you6,-195.9974,142.29501,7.3971524,73.47576,24.252865,-4.556886,-3.0722594,4.2977705,-9.198986,8.118115,-25.547485,-3.6545968,1.9581777,2,99
Nonnative_he1,-161.86101,118.14044,12.9642,51.085335,8.786758,-26.583271,16.164698,8.996576,-17.38944,-8.388385,2.6036859,-4.2338333,-9.584847,3,99
Nonnative_he2,-193.60991,74.762794,21.942938,116.75895,26.679956,-31.847113,-8.902746,9.462844,-0.29297367,-9.023078,-18.98237,5.422226,-6.4672394,3,99
Nonnative_he3,-153.65054,107.754395,17.064453,49.105957,11.159426,-29.547413,15.961886,5.4429946,-13.063899,-13.871054,1.8321177,-0.62092435,-11.132742,3,99
Nonnative_he4,-171.26973,122.38029,18.265913,54.844284,-4.8328404,-23.956976,20.601076,11.440721,-17.588501,-14.185963,7.828562,-14.618081,1.0529536,3,99
Nonnative_he5,-155.32225,90.39363,17.033173,109.26673,30.261301,-41.180122,-7.775334,7.7134,1.9285173,-14.612973,-19.309769,7.8401194,-10.217119,3,99
Nonnative_he6,-206.77432,95.22944,26.322315,114.06436,26.106068,-50.268387,-5.3396463,13.541607,1.6535577,-16.146544,-16.010954,13.037384,-7.0323334,3,99
Nonnative_she1,-173.75018,14.731051,-2.7727041,119.83396,30.173233,-19.0428,-14.381033,17.990894,-3.8215845,6.4609632,-17.856968,-0.71892905,-1.7757992,4,99
Nonnative_she2,-128.32988,83.20362,7.6441813,65.8633,-0.8534398,-19.490253,13.064833,6.6233344,-7.241864,-14.618306,4.818382,-4.262032,-11.272918,4,99
Nonnative_she3,-107.308235,85.82646,8.152767,61.49812,1.6751324,-22.636583,16.563473,2.9779072,-2.6085768,-12.2875395,0.80215573,-2.2470438,-10.748872,4,99
Nonnative_she4,-164.18233,39.586063,-9.558445,108.785675,30.539951,-22.522493,-8.757211,18.97639,0.03905923,-2.1912813,-15.236658,4.4170136,-1.4752673,4,99
Nonnative_she5,-125.640495,72.37019,13.147952,65.37788,-6.085758,-15.017154,14.280957,9.620627,-12.878961,-4.070264,1.464653,-0.9749879,-8.129145,4,99
Nonnative_she6,-185.64099,26.125902,7.5322604,124.54106,26.507381,-34.346096,-17.068254,6.70857,2.5384302,0.048923086,-16.818537,5.6513977,-6.949184,4,99
Nonnative_it1,-164.02528,88.64631,32.538265,33.29082,5.2889585,-13.208602,7.0812254,6.7268367,-8.515697,-11.569698,-0.5351865,5.288343,-9.821737,5,99
Nonnative_it2,-199.62238,56.568035,33.139732,58.28084,10.569957,6.2390385,-34.97453,-18.09948,16.769262,-16.481161,-14.043897,2.833565,-8.71304,5,99
Nonnative_it3,-204.88278,56.219494,20.450264,59.810555,18.59541,1.5231773,-36.8521,-21.734564,12.323556,-12.259269,-15.082296,8.394619,-8.078435,5,99
Nonnative_it4,-185.17526,100.34468,28.49985,31.441751,2.5931826,-8.701451,-1.9587017,14.418266,-7.796728,-10.372313,3.1461673,-0.23455976,-5.224537,5,99
Nonnative_it5,-199.06868,52.776375,25.737211,56.181843,16.337137,4.376916,-34.26908,-9.230464,17.217852,-15.142772,-14.043451,6.286513,-5.677169,5,99
Nonnative_it6,-185.80884,104.27299,29.639511,30.05786,7.471393,-8.1521635,-2.071451,9.170754,-6.9541,-11.275931,4.354013,1.4971024,-4.7096114,5,99
Nonnative_we1,-213.30722,122.528046,9.503355,95.21469,26.55614,-42.52561,1.6970274,-6.3588266,5.0614495,-3.4838,-21.799986,14.114379,-8.266692,6,99
Nonnative_we2,-197.64032,140.11925,4.39733,38.701782,9.124414,-16.77358,12.980347,-0.3996316,-8.999364,-16.218004,-1.5675656,-2.9000654,-6.5046678,6,99
Nonnative_we3,-259.29263,125.48389,30.695145,89.382385,35.763103,-21.61285,5.0080924,-10.06093,2.0685692,-4.4966,-24.652105,12.864371,-6.182979,6,99
Nonnative_we4,-209.22243,145.8597,10.534111,38.919373,13.891157,-16.465658,8.973836,-3.170606,-4.886851,-21.975803,2.432876,-0.03092621,-8.549319,6,99
Nonnative_we5,-221.73813,128.94356,14.432645,43.4974,11.016503,-24.216127,16.154295,-8.178656,-4.1945825,-22.082273,1.5285447,-6.049019,-11.099894,6,99
Nonnative_we6,-237.85886,133.45921,20.363838,89.19701,24.600306,-36.610287,2.2819085,-3.2902527,2.7941573,-2.546776,-24.542168,6.1093726,-7.4776998,6,99
Nonnative_they1,-218.40575,115.782585,0.38851702,82.80058,30.019552,-16.464136,-10.692064,-16.33605,14.918513,-12.777093,-18.762144,8.862608,-6.294337,7,99
Nonnative_they2,-144.53772,137.73114,-4.2783,30.942833,21.182673,-33.646168,-3.588175,-4.2775946,-4.939352,-7.3953943,-4.9244537,2.5597706,0.07131704,7,99
Nonnative_they3,-141.86687,138.3244,-25.301846,47.2276,8.725744,-37.94602,-17.240967,-4.584153,-1.6622064,-8.74374,-3.4048803,11.165376,0.551582,7,99
Nonnative_they4,-206.34242,111.99004,6.281307,79.021095,33.016666,-11.530787,-19.77436,-24.122442,11.9642105,-12.931183,-16.316341,14.298936,-17.89068,7,99
Nonnative_they5,-212.94223,119.83561,-5.4132643,86.0202,31.373549,-16.587738,-10.492293,-28.38575,13.441431,-14.112884,-15.441595,12.1849,-9.844598,7,99
Nonnative_they6,-152.02681,130.48932,-5.6523247,37.001938,20.76025,-48.36108,-7.2036986,-8.079861,-6.8265324,-8.039444,-2.1524231,4.4231634,2.0595145,7,99
